Project Financial Summary - Parkway Fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prepared as of 10/31/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Summary per lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Previous Sales/Allocations,,,,,,,,Sales,Cost of land,Cost of direct dev,Cost of water,Cost of indirects,Total cost,Margin,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Source,LandDev,QB,QB,,LandDev,LandDev,LandDev,QBPLJ,QBBSJ,QBGL,,Rem. Allocation,,,,,,,,,,,,,,,,,,,,
,,,,,Phase,,,Job,Job,GL Account,,Orig Budget,Curr Budget,Actuals,Actuals,Actuals,Actuals,Adj,Base,Comments,,,,,,,,,,,,,,,,,,,
,,,,Directs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,B2,,,,Parkway Fields B2,,,  -   ,  -   ,  -   ,  -   ,,,,, Closed ,,,,,,,,,,,,,,,,,,,
,,,,,D1,,,,Parkway Fields D1,,,  -   ,  -   ,  -   ,  -   ,,,,, Closed ,,,,,,,,,,,,,,,,,,,
,,,,,D2,,,,Parkway Fields D2,Parkway D2,,  -   ,  -   ,  -   ,  -   ,,"  5,770,971.47 ","  6,270,971.47 ","  6,270,971.47 ", Actuals plus $500k per CM/BF/SH ,,,,,,,,,,,,,,,,,,,
,,,,,E1,,,  BCP Development 03 Active Parkway Fields E1,Parkway Fields E-1,Parkway E1,,"  15,484,472.76 ","  15,579,985.58 ","  8,986,628.02 ",  -   ,"  8,986,628.02 ","  253,775.11 ",,"  15,579,985.58 ", LD budget ,,,,,,,,,,,,,,,,,,,
,,,,,E2,,,,Parkway Fields E-2,Parkway E2,,  -   ,  -   ,  -   ,  -   ,"  36,597.00 ","  24,276.00 ","  4,560,000.00 ","  4,560,000.00 ", Est. $60k/lot ,,,,,,,,,,,,,,,,,,,
,,,,,E2 Ent,,,  BCP Development 02 Raw Land Parkway Fields Overall Parkway E2 Entitlements,,,,"  250,000.00 ","  250,000.00 ","  36,597.00 ",  -   ,,,,"  250,000.00 ", LD budget ,,,,,,,,,,,,,,,,,,,
,,,,,F,,,,Parkway Fields F,Parkway F,,  -   ,  -   ,  -   ,  -   ,"  4,656.25 ","  61,438.50 ","  3,660,000.00 ","  3,660,000.00 ", Est. $60k/lot ,,,,,,,,,,,,,,,,,,,
,,,,,F Ent,,,  BCP Development 02 Raw Land Parkway Fields Overall Parkway F Entitlements,,,,"  800,000.00 ","  800,000.00 ","  4,656.25 ",  -   ,,,,"  800,000.00 ", LD budget ,,,,,,,,,,,,,,,,,,,
,,,,,F1,,,,Parkway Fields F1,,,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,G,,,,Parkway Fields G,Parkway G,,  -   ,  -   ,  -   ,  -   ,,"  5,167,246.42 ",,, Should this serve for G1 budget? Any additional costs expected? ,,,,,,,,,,,,,,,,,,,
,,,,,G1,,,,Parkway Fields G1,,,  -   ,  -   ,  -   ,  -   ,,,"  4,080,000.00 ","  4,080,000.00 ", Est. $60k/lot +$300k for comm ,,,,,,,,,,,,,,,,,,,
,,,,,G2,,,,Parkway Fields G2,,,  -   ,  -   ,  -   ,  -   ,"  103,652.00 ",,"  8,700,000.00 ","  8,700,000.00 ", Est. $60k/lot ,,,,,,,,,,,,,,,,,,,
,,,,,G2 Ent,,,  BCP Development 02 Raw Land Parkway Fields Overall Parkway G2 Entitlements,,,,"  300,000.00 ","  300,000.00 ","  103,652.00 ",  -   ,,,,"  300,000.00 ", LD budget ,,,,,,,,,,,,,,,,,,,
,,,,,H,,,,,Parkway H,,  -   ,  -   ,  -   ,  -   ,,"  62,596.00 ","  14,880,000.00 ","  14,880,000.00 ", Est. $60k/lot ,,,,,,,,,,,,,,,,,,,
,,,,,H1 ,,,,,,,  -   ,  -   ,  -   ,  -   ,  656.25 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,H1 Ent,,,  BCP Development 02 Raw Land Parkway Fields Overall Parkway H1 Entitlements,,,,"  350,000.00 ","  350,000.00 ",  125.00 ,  -   ,,,,"  350,000.00 ", LD budget ,,,,,,,,,,,,,,,,,,,
,,,,,H2 Ent,,,  BCP Development 02 Raw Land Parkway Fields Overall Parkway H2 Entitlements,,,,"  350,000.00 ","  350,000.00 ",  -   ,  -   ,,,,"  350,000.00 ", LD budget ,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,"  17,534,472.76 ","  17,629,985.58 ","  9,131,658.27 ",  -   ,"  9,132,189.52 ","  11,340,303.50 ","  42,150,971.47 ","  59,780,957.05 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Land,,,,,Ault Ground,,  -   ,  -   ,  -   ,  -   ,,,"  24,963,021.86 ","  24,963,021.86 ",,,,,,,,,,,,,,,,,,,,
,,,,,Commercial Land,,,,,,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,,,,,,,,,,,,,,,,,,,,
,,,,,Total,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,"  24,963,021.86 ","  24,963,021.86 ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Indirects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Backbone,,,,Parkway Fields Backbone,,,  -   ,  -   ,  -   ,  -   ,,"  1,862,074.27 ",,"  1,862,074.27 ",Actuals,,,,,,,,,,,,,,,,,,,
,,,,,Clubhouse,,,,Parkway Fields Clubhouse,,,  -   ,  -   ,  -   ,  -   ,,"  (2,647,519.22)","  2,100,000.00 ","  (2,647,519.22)",Actuals,,,,,,,,,,,,,,,,,,,
,,,,,Offsite PI,,,,Parkway Fields Off-site PI,,,  -   ,  -   ,  -   ,  -   ,,"  91,247.50 ",,"  91,247.50 ",Actuals,,,,,,,,,,,,,,,,,,,
